fraccion_id;percentil_edad;percentil_pisos
001_1;10;10
001_10;30;100
001_11;30;100
001_12;10;100
001_13;10;30
001_14;10;100
001_15;20;90
001_16;20;70
001_17;20;80
001_18;30;60
001_19;10;50
001_2;10;0
001_20;30;40
001_21;20;50
001_22;30;50
001_23;20;40
001_24;10;30
001_25;30;50
001_26;20;40
001_27;20;30
001_28;30;40
001_29;20;20
001_3;10;0
001_4;100;90
001_5;30;90
001_6;90;90
001_7;30;100
001_8;90;100
001_9;20;100
002_1;10;10
002_10;30;90
002_11;20;80
002_12;30;80
002_13;50;90
002_14;70;100
002_15;40;90
002_16;30;80
002_17;70;100
002_18;60;80
002_19;20;80
002_2;30;80
002_20;20;80
002_21;20;80
002_22;20;70
002_23;60;90
002_24;40;80
002_25;40;100
002_3;30;80
002_4;80;100
002_5;70;90
002_6;60;100
002_7;70;100
002_8;80;100
002_9;80;100
003_1;20;70
003_10;20;60
003_11;30;80
003_12;40;60
003_13;60;60
003_14;30;50
003_15;30;50
003_16;20;40
003_17;20;30
003_18;30;50
003_19;40;40
003_2;40;90
003_20;60;70
003_21;60;50
003_22;20;40
003_23;50;40
003_24;30;50
003_25;20;30
003_26;30;40
003_27;10;50
003_3;50;90
003_4;10;70
003_5;10;70
003_6;10;60
003_7;30;80
003_8;10;60
003_9;20;60
004_1;40;10
004_10;10;0
004_11;20;10
004_12;40;40
004_13;50;50
004_14;20;40
004_15;60;80
004_16;40;30
004_17;50;30
004_18;0;0
004_19;20;30
004_2;50;20
004_20;50;30
004_21;10;10
004_22;70;50
004_23;30;10
004_24;10;0
004_25;10;0
004_26;10;0
004_3;100;10
004_4;70;30
004_5;80;30
004_6;50;30
004_7;100;40
004_8;40;30
004_9;10;10
005_1;30;70
005_10;70;60
005_11;40;60
005_12;60;70
005_13;70;60
005_14;80;70
005_15;70;50
005_16;70;60
005_17;70;60
005_18;60;60
005_19;70;60
005_2;40;60
005_20;80;40
005_21;50;40
005_22;90;30
005_3;20;70
005_4;50;60
005_5;30;70
005_6;70;80
005_7;50;50
005_8;60;60
005_9;40;60
006_1;70;50
006_10;80;80
006_11;30;60
006_12;70;70
006_13;80;100
006_14;60;100
006_15;60;90
006_16;70;100
006_17;70;70
006_18;100;90
006_19;90;90
006_2;70;50
006_20;60;90
006_21;70;90
006_3;60;70
006_4;60;60
006_5;80;90
006_6;80;80
006_7;90;90
006_8;60;70
006_9;80;80
007_1;40;60
007_10;80;80
007_11;100;80
007_12;50;30
007_13;100;70
007_14;90;30
007_15;80;20
007_16;30;20
007_17;10;0
007_18;10;0
007_19;10;10
007_2;70;40
007_20;100;20
007_21;100;80
007_22;80;70
007_23;40;40
007_24;90;20
007_3;70;60
007_4;90;60
007_5;90;70
007_6;70;50
007_7;100;60
007_8;40;60
007_9;70;80
008_1;10;10
008_10;100;40
008_11;80;40
008_12;20;10
008_13;20;10
008_14;30;10
008_15;10;10
008_16;20;10
008_17;10;10
008_2;40;10
008_3;20;10
008_4;70;10
008_5;80;10
008_6;50;10
008_7;10;10
008_8;70;20
008_9;50;20
009_1;30;20
009_10;80;20
009_11;100;30
009_12;90;10
009_13;20;10
009_14;10;10
009_15;60;10
009_16;100;10
009_2;100;60
009_3;90;30
009_4;90;10
009_5;90;20
009_6;100;30
009_7;100;30
009_8;90;10
009_9;100;10
010_1;40;10
010_10;100;20
010_11;70;60
010_12;40;40
010_13;90;40
010_14;60;30
010_15;30;30
010_16;60;40
010_17;50;30
010_18;90;40
010_19;80;70
010_2;40;10
010_3;30;10
010_4;40;20
010_5;100;30
010_6;100;40
010_7;90;40
010_8;70;20
010_9;60;20
011_1;100;60
011_10;70;80
011_11;30;20
011_12;40;40
011_13;100;70
011_14;60;20
011_15;90;40
011_16;50;40
011_17;30;20
011_18;40;40
011_19;40;30
011_2;80;40
011_20;40;30
011_21;60;50
011_22;70;40
011_3;100;80
011_4;100;80
011_5;70;30
011_6;80;30
011_7;80;30
011_8;70;40
011_9;90;70
012_1;80;10
012_10;80;60
012_11;70;40
012_12;20;60
012_13;50;80
012_14;90;100
012_15;100;100
012_16;100;100
012_17;50;50
012_18;100;30
012_19;100;30
012_2;60;30
012_20;60;50
012_21;80;60
012_22;100;50
012_3;70;20
012_4;50;50
012_5;40;60
012_6;60;40
012_7;70;70
012_8;60;40
012_9;30;20
013_1;90;90
013_10;60;90
013_11;20;30
013_12;20;40
013_13;100;100
013_14;90;90
013_15;100;80
013_16;100;100
013_17;80;100
013_18;80;70
013_19;100;80
013_2;60;80
013_20;80;90
013_21;90;80
013_22;70;80
013_23;90;100
013_24;50;50
013_25;20;40
013_26;70;50
013_27;80;90
013_28;50;80
013_29;40;50
013_3;20;80
013_4;100;100
013_5;30;80
013_6;50;70
013_7;60;100
013_8;50;100
013_9;50;80
014_1;100;100
014_10;10;0
014_11;80;100
014_12;30;80
014_13;40;70
014_14;30;70
014_15;70;80
014_16;30;90
014_17;40;80
014_18;70;90
014_19;20;60
014_2;80;90
014_20;30;70
014_21;30;50
014_22;60;50
014_23;30;80
014_24;20;80
014_25;30;70
014_26;60;80
014_27;30;90
014_28;100;90
014_29;60;100
014_3;80;100
014_30;90;80
014_31;90;100
014_4;80;80
014_5;50;80
014_6;30;90
014_7;20;70
014_8;20;80
014_9;70;100
015_1;80;40
015_10;90;80
015_11;70;50
015_12;20;50
015_13;20;60
015_14;60;70
015_15;50;50
015_16;60;70
015_17;80;80
015_18;50;80
015_19;70;90
015_2;40;20
015_20;50;80
015_21;40;90
015_3;100;80
015_4;80;50
015_5;100;40
015_6;10;30
015_7;90;20
015_8;50;30
015_9;10;20
